Model started with the following parameters: 
{'mode': 0, 'dataset': 'referit', 'restore': None, 'suffix': 'feat-no-semantic-embedding-for-chunks', 'develop': True, 'device': 'cuda', 'batch_size': 64, 'num_workers': 1, 'prefetch_factor': 1, 'load_subset': None, 'load_first': False, 'load_first_img': False, 'learning_rate': 0.001, 'grad_clipping': 1, 'scheduler_gamma': 0.9, 'n_epochs': 15, 'align_loss': 'kl-sem', 'align_loss_kl_threshold': 0.5, 'regression_loss': 'iou_c-sem', 'dropout_ratio': 0.3, 'loss_weight_pred': 1, 'loss_weight_reg': 1, 'loss_weight_entities': 0.001, 'n_falsy': 3, 'n_truthy': 3, 'get_similar_positive': 'random', 'get_similar_negative': 'random', 'embeddings_text': 'glove', 'embeddings_freeze': True, 'lstm_dim': 500, 'lstm_num_layers': 1, 'fusion_dim': 2053, 'text_emb_size': 300, 'yago_emb_size': 100, 'yago_fusion_size': 300, 'yago_n_entities': 2, 'semantic_space_size': 500, 'folder_img': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/refer', 'folder_results': '/home/2/2019/lparolar/Thesis/results/referit', 'folder_data': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/preprocessed', 'folder_idx_train': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/train.txt', 'folder_idx_valid': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/val.txt', 'folder_idx_test': '/aulahomes2/2/2019/lparolar/Thesis/VTKEL-solver-at-labinf05/data/referit_raw/test.txt'}
Loading training dataset.
Loading validation dataset.
Loading test dataset.
------------- START MODEL TRAINING
----- Epoch: 1
Train 84/920, loss: -0.184139, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7284, pacc: 26.6036 | ETA: 00:00:00.
Train 85/920, loss: -0.184132, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7041, pacc: 26.6043 | ETA: 00:13:55.
Train 86/920, loss: -0.184415, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6974, pacc: 26.7310 | ETA: 00:00:00.
Train 87/920, loss: -0.185139, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6932, pacc: 26.7494 | ETA: 00:00:00.
Train 88/920, loss: -0.185272, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6898, pacc: 26.7344 | ETA: 00:00:00.
Train 89/920, loss: -0.184811, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7036, pacc: 26.6919 | ETA: 00:00:00.
Train 90/920, loss: -0.184952, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6971, pacc: 26.6557 | ETA: 00:00:00.
Train 91/920, loss: -0.184846, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7115, pacc: 26.7474 | ETA: 00:00:00.
Train 92/920, loss: -0.184926, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6899, pacc: 26.8127 | ETA: 00:00:00.
Train 93/920, loss: -0.184804, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6502, pacc: 26.8291 | ETA: 00:00:00.
Train 94/920, loss: -0.185153, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6462, pacc: 26.7878 | ETA: 00:13:46.
Train 95/920, loss: -0.184755, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6435, pacc: 26.8270 | ETA: 00:00:00.
Train 96/920, loss: -0.185224, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6762, pacc: 26.9536 | ETA: 00:00:00.
Train 97/920, loss: -0.185217, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7094, pacc: 27.0135 | ETA: 00:00:00.
Train 98/920, loss: -0.185349, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6891, pacc: 26.9841 | ETA: 00:13:42.
Train 99/920, loss: -0.185720, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6839, pacc: 27.0643 | ETA: 00:00:00.
Train 100/920, loss: -0.185673, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6643, pacc: 27.0350 | ETA: 00:00:00.
Train 101/920, loss: -0.186044, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.6752, pacc: 27.1288 | ETA: 00:00:00.
Train 102/920, loss: -0.186233, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7195, pacc: 27.1843 | ETA: 00:00:00.
Train 103/920, loss: -0.185645, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7147, pacc: 27.1396 | ETA: 00:13:37.
Train 104/920, loss: -0.186417, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7111, pacc: 27.2152 | ETA: 00:13:36.
Train 105/920, loss: -0.186794, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7392, pacc: 27.3052 | ETA: 00:00:00.
Train 106/920, loss: -0.186616, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7197, pacc: 27.2834 | ETA: 00:13:34.
Train 107/920, loss: -0.187045, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7000, pacc: 27.3752 | ETA: 00:00:00.
Train 108/920, loss: -0.186966, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7105, pacc: 27.3905 | ETA: 00:13:32.
Train 109/920, loss: -0.187598, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7653, pacc: 27.4500 | ETA: 00:00:00.
Train 110/920, loss: -0.188152, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7462, pacc: 27.5034 | ETA: 00:00:00.
Train 111/920, loss: -0.188823, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7590, pacc: 27.6285 | ETA: 00:00:00.
Train 112/920, loss: -0.189446, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7694, pacc: 27.6599 | ETA: 00:00:00.
Train 113/920, loss: -0.189449, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7789, pacc: 27.6435 | ETA: 00:00:00.
Train 114/920, loss: -0.189756, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8292, pacc: 27.6795 | ETA: 00:00:00.
Train 115/920, loss: -0.189406, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8394, pacc: 27.7141 | ETA: 00:13:25.
Train 116/920, loss: -0.189680, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8337, pacc: 27.7215 | ETA: 00:00:00.
Train 117/920, loss: -0.189845, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8149, pacc: 27.8769 | ETA: 00:00:00.
Train 118/920, loss: -0.189851, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.7967, pacc: 27.9373 | ETA: 00:00:00.
Train 119/920, loss: -0.190066, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8218, pacc: 28.0728 | ETA: 00:00:00.
Train 120/920, loss: -0.190071, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8309, pacc: 28.1121 | ETA: 00:00:00.
Train 121/920, loss: -0.190630, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8259, pacc: 28.0397 | ETA: 00:00:00.
Train 122/920, loss: -0.190987, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8475, pacc: 27.9685 | ETA: 00:00:00.
Train 123/920, loss: -0.190935, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9018, pacc: 27.9551 | ETA: 00:00:00.
Train 124/920, loss: -0.191214, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.8963, pacc: 27.9768 | ETA: 00:00:00.
Train 125/920, loss: -0.191617, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9045, pacc: 28.0284 | ETA: 00:00:00.
Train 126/920, loss: -0.192205, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9125, pacc: 28.0531 | ETA: 00:00:00.
Train 127/920, loss: -0.192606, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9198, pacc: 28.0101 | ETA: 00:00:00.
Train 128/920, loss: -0.193108, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9422, pacc: 28.0428 | ETA: 00:13:12.
Train 129/920, loss: -0.192878, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9524, pacc: 28.1246 | ETA: 00:00:00.
Train 130/920, loss: -0.192978, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9598, pacc: 28.1983 | ETA: 00:00:00.
Train 131/920, loss: -0.192784, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9671, pacc: 28.2959 | ETA: 00:00:00.
Train 132/920, loss: -0.192509, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9763, pacc: 28.3297 | ETA: 00:00:00.
Train 133/920, loss: -0.192703, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0051, pacc: 28.4222 | ETA: 00:00:00.
Train 134/920, loss: -0.192689, reg_loss: 0.000000, pred_loss: 0.000000, acc: 3.9877, pacc: 28.3842 | ETA: 00:13:06.
Train 135/920, loss: -0.193008, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0052, pacc: 28.4209 | ETA: 00:00:00.
Train 136/920, loss: -0.193558, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0332, pacc: 28.4646 | ETA: 00:00:00.
Train 137/920, loss: -0.193775, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.0848, pacc: 28.5272 | ETA: 00:00:00.
Train 138/920, loss: -0.193671, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1156, pacc: 28.5741 | ETA: 00:00:00.
Train 139/920, loss: -0.193768, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1440, pacc: 28.6702 | ETA: 00:00:00.
Train 140/920, loss: -0.193827, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1514, pacc: 28.7364 | ETA: 00:00:00.
Train 141/920, loss: -0.194222, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1337, pacc: 28.7454 | ETA: 00:00:00.
Train 142/920, loss: -0.194499, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1664, pacc: 28.8271 | ETA: 00:00:00.
Train 143/920, loss: -0.195047, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1485, pacc: 28.8398 | ETA: 00:00:00.
Train 144/920, loss: -0.195515, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1425, pacc: 28.8103 | ETA: 00:00:00.
Train 145/920, loss: -0.196241, reg_loss: 0.000000, pred_loss: 0.000000, acc: 4.1796, pacc: 28.8853 | ETA: 00:12:55.
